code,title
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
H02,CORTICOSTEROIDS FOR SYSTEMIC USE
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
H02AB,GLUCOCORTICOIDS
H02AB04,METHYLPREDNISOLONE
G,GENITO URINARY SYSTEM AND SEX HORMONES
G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03B,ANDROGENS
G03BA,3-OXOANDROSTEN (4) DERIVATIVES
G03BA02,METHYLTESTOSTERONE
A,ALIMENTARY TRACT AND METABOLISM
A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03F,PROPULSIVES
A03FA,PROPULSIVES
A03FA01,METOCLOPRAMIDE
C,CARDIOVASCULAR SYSTEM
C07,BETA BLOCKING AGENTS
C07A,BETA BLOCKING AGENTS
C07AB,"BETA BLOCKING AGENTS, SELECTIVE"
C07AB02,METOPROLOL
J,ANTIINFECTIVES FOR SYSTEMIC USE
J01,ANTIBACTERIALS FOR SYSTEMIC USE
J01X,OTHER ANTIBACTERIALS
J01XD,IMIDAZOLE DERIVATIVES
J01XD01,METRONIDAZOLE
P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"
P01,ANTIPROTOZOALS
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
P01AB,NITROIMIDAZOLE DERIVATIVES
P01AB01,METRONIDAZOLE
D,DERMATOLOGICALS
D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE
D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE
D06BX,OTHER CHEMOTHERAPEUTICS
D06BX01,METRONIDAZOLE
G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
G01AF,IMIDAZOLE DERIVATIVES
G01AF01,METRONIDAZOLE
D07AB08,DESONIDE
D01,ANTIFUNGALS FOR DERMATOLOGICAL USE
D01A,ANTIFUNGALS FOR TOPICAL USE
D01AC,IMIDAZOLE AND TRIAZOLE DERIVATIVES
